InvoiceNo,Stock Code,Description,Quantity,InvoiceDate,Price,Customer,Region
2013001184,TRIHAL_DYE007,Trihal 2000кВА. 6/0.4кВ.IP00. Dyn11. 6PTC,2,01.01.18,747,"""ПромТехноРесурсKZ"" ТОО",Юг
2012000414,SERMOBILIZ,Мобилизация специалистов/Стоимость путешествия,1,02.01.18,733,Schneider Electric ZAO,Прочие
2012000414,SERVTRAV,Время на транспорт (час) ,15,02.01.18,335,Schneider Electric ZAO,Прочие
2012000414,SERWD,Рабочий день (с Пн. до Пт. - с 8 до 17 часов),5,02.01.18,2232,Schneider Electric ZAO,Прочие
2011002855,SERVGETDOC_KTR002,Экс.закл.Разр.ЧС.Серт.РК ,1,02.01.18,9850,Schneider Electric ZAO,Прочие
2012002632,SERVGETDOC_KTR003,Услуги по получению сертификата соответствия ГОСТ,1,02.01.18,2255,Schneider Electric ZAO,Прочие
2013000489,METAL_SCRAP,Металлолом ,6,02.01.18,967,Алметпро, 
2013000767,SERWSAPMV-VSD,Сервисное обслуживание частотного преобразователя,2,02.01.18,24399,Мангистауэнергомунай ТОО,Запад
2012000761,LUA1C11,ДОП КОНТ ГОТОВН 1НЗ+1НО С ,5,02.01.18,72,НБН-Трейд ТОО,Юг
2012000761,LUB12,СИЛОВ БЛОК 12А С КЛЕММНИК ,5,02.01.18,197,НБН-Трейд ТОО,Юг
2012000761,LUB32,СИЛОВ БЛОК 32А С КЛЕММНИК ,5,02.01.18,313,НБН-Трейд ТОО,Юг
2012000761,LUCA05BL,БЛОК УПР СТАН 1.255A 24V ,5,02.01.18,255,НБН-Трейд ТОО,Юг
2012000761,LUCA32BL,БЛОК УПР СТАН 832A 24VDC ,5,02.01.18,448,НБН-Трейд ТОО,Юг
2012000509,VW3A58101,КЛАВИАТУРА ,6,02.01.18,1072,NSP ОсОО,Кыргызстан
2012102121,TM2DRA16RT,МОДУЛЬ РАСШИРЕНИЯ 16ВЫХ РЕЛЕ. КЛЕМ. БЛОК,8,02.01.18,1255,AC Electro ТОО,Юг
2012102121,TWDLCAE40DRF,"КОМПАКТНЫЙ ПЛК ~100240В, 24ВХ/16ВЫХ+ETH",12,02.01.18,6294,AC Electro ТОО,Юг
